@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Öğretmenim Bir Bakar Mısın? & Öğretmen'in Gücü Üzerine,FİNAL KÜLTÜR SANAT YAYINLARI,Doğan Cüceloğlu,27.78,18.61,208,15978, Diğer,5,522
Antrenmanlarla Matematik 1,ANTRENMAN YAYINLARI,Halil İbrahim Küçükkaya , Mehmet Girgiç , Ahmet Karakoç,61.0,36.3,352,14061, Eğitime Yardımcı Kitaplar,5,889
Outliers (Çizginin Dışındakiler) & Bazı İnsanlar Neden Daha Başarılı Olur?,MEDİACAT KİTAPLARI,Malcolm Gladwell,34.0,23.8,244,8341, İngilizce,5,379
Morgue Sokağı Cinayeti,CEM YAYINEVİ,Edgar Allan Poe,11.0,7.2,150,801, Hikaye (çeviri),4,26
Ölüler Diyarı,DOĞAN KİTAP,Jean Christophe Grange,37.0,25.23,464,4865, Polisiye,5,274
Seviyordum Hakim Bey,CAN YAYINLARI KAMPANYA,Süleyman Bulut,14.0,6.3,112,1101, Hikaye (yerli),4,95
Fıtrat Pedagojisi 2 & Peygamberlerin Çocuk Eğitimi Metotları,HAYY KİTAP,Hatice Kübra Tongar,20.37,11.1,160,23144, Çocuk Eğitimi,5,915
Tongue Fu /Sözlü Dövüş Sanatı,BOYNER YAYINLARI,Sam Horn,37.5,26.57,289,8195, Doğu Felsefesi,5,367
Seni Anlıyorum Anne,YEDİVEREN YAYINLARI,Dilek Cesur,25.0,13.0,256,2111, Annelik-Babalık-Aile,5,40
Zeytindağı,POZİTİF YAYINLARI,Falih Rıfkı Atay,13.89,9.03,176,17296, Siyasal Hayat (Türkiye),4,1480
Kuyu ve Sarkaç (Cep Boy),KARBON KİTAPLAR,Edgar Allan Poe,7.0,2.9,68,269, Hikaye (çeviri),5,14
Gece Uçuşu (Cep Boy),KARBON KİTAPLAR,Antoine De Saint Exupery,7.0,2.9,98,335, Roman (çeviri),5,16
Son Söz - Gerçek Tıp Dersleri Cilt 2,YİTİK ŞİFA,Aidin Salih,45.0,33.75,368,101, Eğitim,5,3
Rüzgarlar Hep Gençtir,DEX KİTAP,Zülfü Livaneli,25.5,17.23,224,4417, Roman (yerli),5,203
Bütün Şiirleri Ahmet Haşim (Cep Boy),KARBON KİTAPLAR,Ahmet Haşim,7.0,2.9,172,309, Şiir (yerli),5,14
Otuz Milyon Kelime & Çocuğunuzun Beynini Geliştirin,BUZDAĞI YAYINLARI,Dr. Dana Suskind,35.0,25.2,304,9526, Çocuk Eğitimi,5,431
Kıyamet Koparken Park Etmek Yasaktır,PEGASUS YAYINLARI,Bryan Bliss,32.41,19.12,264,440, Roman (çeviri),4,16
Leyla'nın Evi,DOĞAN KİTAP,Zülfü Livaneli,25.93,18.93,284,8658, Roman (yerli),5,971
Altıncı Koğuş,KARBON KİTAPLAR,Anton Çehov,8.33,5.33,77,720, Hikaye (çeviri),5,29
Uzun Hikaye,DERGAH YAYINLARI,Mustafa Kutlu,14.0,9.8,115,22532, Hikaye (yerli),5,1631
Yeni Dünya,YAPI KREDİ YAYINLARI,Sabahattin Ali,8.0,5.12,124,10946, Hikaye (yerli),5,1157
Hayalden Kaleler,TUDEM YAYINEVİ,Olivier de Solminihac,18.0,10.8,80,8483, Roman,5,4
Devran,İLETİŞİM YAYINLARI,Selahattin Demirtaş,19.0,12.54,138,5509, Hikaye (yerli),3,524
Can Veren Pervaneler 2,BABIALİ KÜLTÜR YAYINCILIĞI,Hayati İnanç,22.22,14.44,124,3127, Divan Edebiyatı,5,165
Ay Işığı Sokağı,KARBON KİTAPLAR,Stefan Zweig,7.41,4.74,77,1034, Hikaye (çeviri),4,42
Burun (Cep Boy),KARBON KİTAPLAR,Nikolay Vasilievich Gogol,7.0,2.9,85,387, Hikaye (çeviri),5,19
Bağırmayan Çocuklar,HAYY KİTAP,Hatice Kübra Tongar,28.0,15.26,192,6784, Annelik-Babalık-Aile,4,228
Şu Yaramaz Tavşanlar,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Ciara Flood,12.0,7.8,36,1454, Hikaye,5,74
Dönüşüm,KARBON KİTAPLAR,Franz Kafka,8.33,4.65,60,2937, Roman (çeviri),4,319
Dört Sınav,DESTEK YAYINLARI,Bülent Gardiyanoğlu,29.0,21.75,328,130, Kişisel Gelişim,4,2
Yitik Cennet,DİRİLİŞ YAYINLARI,Sezai Karakoç,22.0,15.48,144,11824, Genel,5,719
Koşulsuz Ebeveynlik,GÖRÜNMEZ ADAM YAYINLARI,Alfie Kohn,29.63,22.52,316,5148, Rehber Kitaplar,5,198
Çöle İnen Nur (kod39),BÜYÜK DOĞU YAYINLARI,Necip Fazıl Kısakürek,35.19,24.64,608,12234, Siyer,5,1081
Ay'a Yolculuk,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jules Verne,12.0,7.8,224,595961, Hikaye, Roman & Masal,5,512
Düşünce Gücüyle Tedavi,ALTIN KİTAPLAR,Louise L. Hay,24.0,12.46,208,9694, İngilizce,4,449
İnci,SEL YAYINCILIK,John Steinbeck,12.96,8.81,102,8839, İngilizce,5,786
50 Soruda Yapay Zeka,BİLİM VE GELECEK KİTAPLIĞI,Cem Say,25.0,17.05,188,2080, Popüler Bilim,5,61
İyi Aile Yoktur,İTHAKİ YAYINLARI,Nihan Kaya,25.0,14.5,300,1658, Annelik-Babalık-Aile,5,87
Annemin Çantası,YAPI KREDİ YAYINLARI,Sara Şahinkanat,25.0,15.0,32,581072, Hikaye, Roman & Masal,5,667
Ben, Robot,İTHAKİ YAYINLARI,Isaac Asimov,28.0,16.24,240,2865, Bilimkurgu-Fantazya,5,320
TYT Problematik & Matematik Problem Soruları,TONGUÇ AKADEMİ,Kollektif,0.0,32.0,208,1291, YKS TYT - Temel Yeterlilik Testi,5,60
Gülün Adı (Ciltsiz),CAN YAYINLARI,Umberto Eco,39.5,25.67,732,12718, İtalyanca,5,1403
Heyet 3 / Devletin Anlaşılmamış Devri,LOPUS,Halil Yaşar Kollu,26.85,16.11,304,6854, Siyasal Tarih,4,245
Tarihsel Süreç İçinde Dünya Ekonomisi,REMZİ KİTABEVİ,Mahfi Eğilmez,23.15,14.9,208,4395, Dünya Ekonomisi,5,165
Morgue Sokağı Cinayetleri,KARBON KİTAPLAR,Edgar Allan Poe,10.0,6.5,64,622, Hikaye (çeviri),5,34
Fesleğen,HAYY KİTAP,Hikmet Anıl Öztekin,22.22,12.22,216,29570, Roman (yerli),4,2421
Alkali Diyet,DOĞAN KİTAP,Dr. Ayşegül Çoruhlu,25.0,17.5,148,680, Sağlıklı beslenme-Diyet,4,10
Müthiş Bir Şey,PEGASUS YAYINLARI,Chitra Banarjee Divakaruni,32.41,20.42,272,374, İngilizce,4,15
Clarissa,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,13.0,8.45,184,6063, Roman (çeviri),5,737
Şiddetsiz İletişim,REMZİ KİTABEVİ,Marshall B. Rosenberg,25.46,16.82,264,5636, İngilizce,5,190
Muhteşem Gatsby (Cep Boy),KARBON KİTAPLAR,F. Scott Fitzgerald,7.0,2.9,220,180, Roman (çeviri),5,9
Gül Yetiştiren Adam,İZ YAYINCILIK,Rasim Özdenören,12.0,7.2,144,19770, Günümüz İslam Düşüncesi,5,1566
Devlet Ana,İTHAKİ YAYINLARI,Kemal Tahir,41.0,23.78,651,7258, Roman (yerli),5,647
Kuyruklu Yıldız Altında Bir İzdivaç (Cep Boy),KARBON KİTAPLAR,Hüseyin Rahmi Gürpınar,7.0,2.9,196,74, Roman (yerli),5,2
Köstebek,POZİTİF YAYINLARI,Necip Hablemitoğlu,20.83,13.55,312,8475, Araştırma-İnceleme,5,519
Snowden Dosyası,PEGASUS YAYINLARI,Luke Harding,32.41,20.42,320,522, İngilizce,5,35
Beyaz Diş (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jack London,14.0,9.1,258,6619, İngilizce,5,764
Yardımcı,PEGASUS YAYINLARI,Kathryn Stockett,36.94,24.01,608,338, Roman (çeviri),5,19
2020 ALES Tüm Adaylar için Soru Bankası,PEGEM AKADEMİ YAYINCILIK-SINAV KİTAPLARI,Kenan Osmanoğlu , Kerem Köker,95.0,59.38,840,108, ALES,5,1
Korku Kapanı,PEGASUS YAYINLARI,Dayna Lorentz,32.41,20.42,304,437, Roman (çeviri),4,24
Şu Hortumlu Dünyada Fil Yalnız Bir Hayvandır (ciltsiz),ELMA YAYINEVİ,Ahmet Şerif İzgören,25.0,16.25,163,20631, Kişisel Gelişim,5,1506
Asla Vazgeçmedim,YEDİVEREN YAYINLARI,Alişan Kapaklıkaya,28.0,16.79,288,435, Kişisel Gelişim,4,11
İlber Ortaylı Seyahatnamesi (Kartpostal Hediyeli),KRONİK KİTAP,Prof. Dr. İlber Ortaylı,28.0,17.92,288,8991, Gezi Kitapları,5,788
Açlık,VARLIK YAYINLARI,Knut Hamsun,18.52,13.12,160,11742, Norveççe,5,1242
Paragrafik,TONGUÇ AKADEMİ,Kollektif,0.0,25.0,272,815, YKS TYT - Temel Yeterlilik Testi,5,35
Gençlerle Başbaşa,YAĞMUR YAYINLARI,Ord. Prof. Dr. Ali Fuad Başgil,5.0,3.2,80,39538, Eğitici ve Kaynak Kitaplar,5,1078
Zacharius Usta,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jules Verne,6.0,3.9,56,3589, Hikaye (çeviri),5,586
Çingene (Günümüz Türkçesiyle),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Ahmet Mithat Efendi,11.0,7.14,104,136, Roman (yerli),5,14
Beyaz Zambaklar Ülkesinde,YAKAMOZ YAYINCILIK,Grigory Petrov,12.04,5.0,224,1257, Anı (hatırat),5,81
İknanın Psikolojisi,MEDİACAT KİTAPLARI,Robert B. Cialdini,37.0,25.53,368,9360, İngilizce,5,342
Yaratıcı Tür & Fikirler Dünyayı Nasıl Yeniden Yaratıyor,DOMİNGO YAYINEVİ,David Eagleman , Anthony Brandt,38.0,24.32,304,669, Popüler Bilim,4,23
Çanta,CAN YAYINLARI KAMPANYA,Jean-Claude Kaufmann,17.0,7.65,196,981, Roman (çeviri),4,69
Kumların Kadını,MONOKL YAYINLARI,Kobo Abe,25.0,15.0,184,717, Roman (çeviri),5,70
Tokuz Ama Açız!,DOĞAN KİTAP,Dr. Ayşegül Çoruhlu,24.5,17.15,208,6295, Sağlıklı beslenme-Diyet,5,145
Kırmızı Çizgi,ERDEM ÇOCUK YAYINLARI,Samar Mahfouz Barraj,12.0,7.44,24,510795, Eğitici Kitaplar,5,532
Kambur,İLETİŞİM YAYINLARI,Şule Gürbüz,15.0,10.05,92,2228, Roman (yerli),4,199
Anayurt Oteli,CAN YAYINLARI,Yusuf Atılgan,14.0,9.1,128,6494, Roman (yerli),4,543
Evrak Kürek & Sektörden Arkadaşlara Giriş 101,KÜSURAT YAYINLARI,Selçuk Aydemir,25.93,14.26,224,2325, Anlatı,5,132
Yaşamak,BEYAN YAYINLARI,Cahit Zarifoğlu,20.0,13.0,230,12528, Anı (hatırat),5,1077
Mahrem Cevaplar & Kadın - Erkek İlişkileri Üzerine,TAHLİL YAYINLARI,Nureddin Yıldız,18.0,11.52,265,3111, Diğer,5,230
Hayatı Yeniden Keşfedin,PSİKONET YAYINLARI,Jeffrey E. Young , Janet S. Klosko,37.0,25.0,456,9678, Kişisel Gelişim,5,351
Huzur,DERGAH YAYINLARI,Ahmet Hamdi Tanpınar,39.0,27.3,419,14174, Roman (yerli),5,1338
Okulsuz Toplum,ŞULE YAYINLARI,Ivan Illich,20.0,11.67,141,11608, İnceleme-Araştırma,4,833
Dört Anlaşma: Toltek Bilgelik Kitabı,ÖTESİ YAYINCILIK,Don Miguel Ruiz,14.0,9.8,122,12683, Kişisel Geliş
