@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Yeraltından Notlar (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Fyodor Mihayloviç Dostoyevski,12.0,7.08,140,20803, Rusça,5,2120
Korku,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.41,4.81,80,39762, Almanca,5,4192
Kuyucaklı Yusuf,YAPI KREDİ YAYINLARI,Sabahattin Ali,8.5,5.77,221,74889, Roman (yerli),5,7296
Küçük Kara Balık,KARBON KİTAPLAR,Samed Behrengi,8.33,4.58,56,17658, Hikaye,5,1036
Berdel,NTV YAYINLARI,Şebnem Eraş,28.01,11.57,168,766, İnceleme-Araştırma,5,71
Spor'un En'leri & Dünyanın En İlginç Spor İstatistikleri,NTV YAYINLARI,Martin Toseland , Simon Toseland,28.01,12.6,200,2109, Genel,4,138
Amok Koşucusu,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,7.0,4.55,64,27054, Roman (çeviri),5,2850
Kırmızı Pazartesi,CAN YAYINLARI,Gabriel Garcia Marquez,16.0,10.4,108,56988, İspanyolca,4,6672
Otomatik Portakal (ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Anthony Burgess,16.0,10.4,176,47571, İngilizce,4,5658
Heykeltraştan Ressama Büyük Sanatçılar / Hazır Bilgi Serisi,NTV YAYINLARI,Caroline Larroche,16.81,8.4,80,945, Heykel,5,64
Gerçek Tıp & Yitik Şifanın İzinde,YİTİK ŞİFA,Aidin Salih,60.0,39.6,432,25423, Genel,5,1086
Kırılma Noktası,CAN YAYINLARI KAMPANYA,Yiğit Bener,24.5,10.86,256,618, Roman (yerli),4,41
Bir Çöküşün Öyküsü,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,6.0,3.61,56,45089, Roman (çeviri),5,4502
Hayvanlardan Tanrılara Sapiens & İnsan Türünün Kısa Bir Tarihi,KOLEKTİF KİTAP,Yuval Noah Harari,41.67,25.0,412,48109, İngilizce,5,3758
İnsan Neyle Yaşar? (Cep Boy),KARBON KİTAPLAR,Lev N. Tolstoy,7.0,2.9,56,1291, Hikaye (çeviri),5,44
10 Milyar,NTV YAYINLARI,Stephen Emmott,16.81,8.4,200,2101, Çevre & Doğa,4,178
Kalp,TURKUVAZ KİTAP,Prof. Dr. İskender Pala,30.0,19.62,328,7569, Roman (yerli),5,349
Futbol! Bir Aşk...,NTV YAYINLARI,Halit Kıvanç,24.95,12.48,408,870, Futbol,5,56
Kadın Düşmanı Sözlük,CAN YAYINLARI KAMPANYA,Agnes Michaux,21.0,9.45,240,672, Roman (çeviri),4,56
İtiraflarım,KARBON KİTAPLAR,Lev N. Tolstoy,7.41,4.59,93,15856, Genel,5,1027
Kadehteki Göktaşı,NTV YAYINLARI,Florian Freistetter,20.37,10.18,160,2114, Almanca,4,168
Lefter & Futbol'un Ordinaryüsü,NTV YAYINLARI,Haluk Hergün,33.61,13.89,392,1395, Biyografi,5,92
Türkiye'nin Kültür Mirası 100 Cam,NTV YAYINLARI,Prof. Önder Küçükerman,28.01,11.57,240,956, Geleneksel Sanatlar,4,64
Organik Bozukluk & 21.Yüzyılda Tembellik Hakkı,CAN YAYINLARI KAMPANYA,Şenay Aydemir,14.0,6.3,112,567, Anlatı,5,33
Altıncı Koğuş,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Anton Çehov,7.0,4.54,68,17770, Hikaye (çeviri),5,1559
Huzursuzluk,DOĞAN KİTAP,Zülfü Livaneli,18.55,12.8,160,56158, Roman (yerli),5,5625
Sefarad Yahudilerinden Masallar,CAN YAYINLARI KAMPANYA,Vanessa Pfister-Mesavage,14.0,6.3,128,483, Masal,4,19
Dönüşüm (Karton Kapak),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Franz Kafka,6.0,3.9,74,28208, Almanca,5,2885
Alageyik Sokağı Bir Liman mıydı?,CAN YAYINLARI KAMPANYA,Deniz Kavukçuoğlu,29.63,13.33,432,660, Anı (hatırat),4,53
İfsa,KIRMIZI KEDİ YAYINEVİ,Toygun Atilla,27.5,17.88,288,2276, Araştırma-İnceleme,4,65
On Dakika Otuz Sekiz Saniye,DOĞAN KİTAP,Elif Şafak,36.5,25.19,392,2378, Roman (yerli),3,181
Sırça Köşk,YAPI KREDİ YAYINLARI,Sabahattin Ali,8.0,5.04,141,37793, Hikaye (yerli),5,3464
Beyaz Zambaklar Ülkesinde (Cep Boy),KARBON KİTAPLAR,Grigory Petrov,7.0,2.9,110,1481, Anı (hatırat),5,48
Rus Ruletinde Nasıl Kazanırsınız ve Diğer Ölümcül Mantık Soruları,NTV YAYINLARI,Thomas Byrne , Tom Cassidy,20.37,10.18,196,1052, Oyunlar,4,81
İçimizdeki Şeytan (Cep Boy),KARBON KİTAPLAR,Sabahattin Ali,7.0,2.9,352,1239, Roman (yerli),5,30
Serenad (Karton Kapak),DOĞAN KİTAP,Zülfü Livaneli,34.5,23.46,484,32660, Roman (yerli),5,3776
Öykünün Bahçesi,CAN YAYINLARI KAMPANYA,Semih Gümüş,22.5,10.13,216,582, İnceleme,4,37
Sunum Sırları,NTV YAYINLARI,Martin Manser,14.77,7.38,127,1139, İş Dünyası,4,59
Küresel Isınma Atlası,NTV YAYINLARI,Frederic Denhez,16.81,8.4,82,855, Çevre & Doğa,4,68
Yalan Yıllar,CAN YAYINLARI KAMPANYA,Can Kozanoğlu,26.5,11.93,280,1273, Anı (hatırat),4,111
Mülakat Sırları,NTV YAYINLARI,Heather Salter,14.77,7.38,128,689, İngilizce,4,42
Gizli Kitap,PEGASUS YAYINLARI,Gregory Samak,32.41,20.42,208,1211, Roman (çeviri),4,74
Genç Werther'in Acıları (Cep Boy),KARBON KİTAPLAR,Goethe,7.0,2.9,144,1189, Hikaye (çeviri),5,37
Darağacı Avı,CAN YAYINLARI KAMPANYA,Osman Şahin,14.0,6.3,112,491, Hikaye (yerli),5,37
Saatleri Ayarlama Enstitüsü,DERGAH YAYINLARI,Ahmet Hamdi Tanpınar,40.0,28.0,382,33993, Roman (yerli),5,3489
Mecburiyet,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,6.0,3.9,50,23420, Hikaye (çeviri),5,2341
The Little Prince,KARBON KİTAPLAR,Antoine De Saint Exupery,7.41,4.37,118,11266, İngilizce,5,1046
Evlilik Ahlakı / Muhteşem Ahlak Serisi 1,SİYER YAYINLARI,Muhammed Emin Yıldırım,12.5,7.81,180,1958, Kültür,5,43
Başarılı Olmanın Yolları,NTV YAYINLARI,Yaman Törüner,20.37,10.0,200,575, Kişisel Gelişim,4,28
Gazap Üzümleri,SEL YAYINCILIK,John Steinbeck,40.0,27.2,556,10569, İngilizce,5,1063
Dava (Cep Boy),KARBON KİTAPLAR,Franz Kafka,7.0,2.9,272,796, Roman (çeviri),5,26
Hayat Işığım (Film Özel Baskısı),PEGASUS YAYINLARI,M. L. Stedman,36.94,23.27,360,1310, Roman (çeviri),5,64
Kral Kaybederse,REMZİ KİTABEVİ,Dr. Gülseren Budayıcıoğlu,37.04,24.08,384,7146, Roman (yerli),5,388
Temeraire Serisi Takım Set (4 Kitap),PEGASUS YAYINLARI,Naomi Novik,147.76,30.0,1592,300, Bilimkurgu-Fantazya,4,15
Aylak Adam,CAN YAYINLARI,Yusuf Atılgan,16.0,10.4,192,12375, Roman (yerli),4,950
İnce Memed 1,YAPI KREDİ YAYINLARI,Yaşar Kemal,34.0,20.06,436,20133, Roman (yerli),5,2010
Martin Eden,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jack London,25.0,16.25,520,8823, İngilizce,5,1187
Kürk Mantolu Madonna (Cep Boy),KARBON KİTAPLAR,Sabahattin Ali,7.0,2.9,212,819, Roman (yerli),5,21
Serbest Düşüş,CAN YAYINLARI KAMPANYA,Nilüfer Kuyaş,24.5,9.19,248,541, Roman (yerli),4,40
Bitik,CAN YAYINLARI KAMPANYA,Mehmet Anıl,23.5,10.58,240,416, Roman (yerli),4,29
İyi Hissetmek,PSİKONET YAYINLARI,Dr. David Burns,35.0,24.5,404,32067, İngilizce,5,1517
Olağanüstü Bir Gece,KARBON KİTAPLAR,Stefan Zweig,7.41,4.0,53,4234, Hikaye (çeviri),4,220
İnsan Neyle Yaşar?,KARBON KİTAPLAR,Lev N. Tolstoy,8.33,4.96,66,6876, Rusça,5,621
Saray'dan Saray'a Türkiye'de Gazetecilik Masalı,CAN YAYINLARI KAMPANYA,Ümit Alan,31.0,13.95,336,397, İletişim-Medya,4,21
Harry Potter ve Felsefe Taşı,YAPI KREDİ YAYINLARI,J. K. Rowling,25.0,17.0,274,242866, İngilizce,5,2305
Çizgili Pijamalı Çocuk,TUDEM YAYINEVİ,John Boyne,30.0,18.0,208,15555, İngilizce,5,1003
İtiraflarım (Cep Boy),KARBON KİTAPLAR,Lev N. Tolstoy,7.0,2.89,100,867, Genel,5,27
Yüzbaşının Kızı (Cep Boy),KARBON KİTAPLAR,Alexandr Sergeyeviç Puşkin,7.0,2.9,170,959, Roman (çeviri),5,49
Kardeşimin Hikayesi (Karton Kapak),DOĞAN KİTAP,Zülfü Livaneli,26.85,19.6,330,30491, Roman (yerli),5,3678
Karamazov Kardeşler (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Fyodor Mihayloviç Dostoyevski,27.78,18.06,1008,16573, Rusça,5,1927
Çavdar Tarlasında Çocuklar,YAPI KREDİ YAYINLARI,J. D. Salinger,16.0,10.88,198,35141, İngilizce,4,3732
Havaalanında Satılmayan Kitaplar,CAN YAYINLARI KAMPANYA,Başar Başarır,24.5,10.86,256,546, Hikaye (yerli),4,61
Küçük Prens (Cep Boy),KARBON KİTAPLAR,Antoine De Saint Exupery,7.0,2.9,117,149561, Hikaye, Roman & Masal,5,43
Telesafir & Anılarla Türk Televizyonculuğu,NTV YAYINLARI,Halit Kıvanç,20.37,10.18,216,1678, İletişim-Medya,4,148
Kuyucaklı Yusuf (Cep Boy),KARBON KİTAPLAR,Sabahattin Ali,7.0,2.9,293,865, Roman (yerli),5,27
Çetin Ceviz ve Mucide,FOM KİTAP,Sinan Yaşar,18.0,11.34,96,824966, Hikaye, Roman & Masal,5,35
Kendine Ait Bir Oda (Cep Boy),KARBON KİTAPLAR,Virginia Woolf,7.0,2.9,148,667, Deneme (çeviri),5,23
Don Kişot (Karton Kapak),YAPI KREDİ YAYINLARI,Miguel de Cervantes Saavedra,16.0,9.6,292,541412, İspanyolca,5,330
Semerkant,YAPI KREDİ YAYINLARI,Amin Maalouf,28.0,19.04,318,34451, Fransızca,5,3635
Ermiş,KARBON KİTAPLAR,Halil Cibran,8.33,4.5,75,4608, Doğu Felsefesi,4,277
Öteki Kabuslar,CAN YAYINLARI KAMPANYA,Yiğit Bener,15.0,6.75,128,437, Hikaye (yerli),4,30
Dervişin Teselli Koleksiyonu & Doğu'dan Batı'dan 99 Teselli,HAYY KİTAP,Mecit Ömür Öztürk,30.0,16.5,344,13829, Filozoflar-Düşünürler,5,453
Ay'ı Kim Çaldı?,YAPI KREDİ YAYINLARI,Helen Stratton Would,9.0,5.41,40,381545, Hikaye,5,794
Morgue Sokağı Cinayetleri (Cep Boy),KARBON KİTAPLAR,Edgar Allan Poe,7.0,2.9,75,518,,5,15
Halep,CAN YAYINLARI KAMPANYA,Serhat Öztürk,16.67,7.5,176,463, Diğer,4,38
Beni Akkuyu'larda Merdivensiz Bıraktın & Türkiye'nin Nükleerle İmtihanı,CAN YAYINLARI KAMPANYA,Filiz Yavuz,23.5,10.58,232,321, Çevre & Doğa,5,10
Nasip Niyete Vurgundur,OLİMPOS YAYINLARI,Ethem Emin Nemutlu,20.0,11.0,160,3291, Deneme (yerli),5,90
Puslu Kıtalar Atlası,İLETİŞİM YAYINLARI,İhsan Oktay Anar,30.0,19.12,238,28121, Roman (yerli),5,3022
Hayata Dön,REMZİ KİTABEVİ,Dr. Gülseren Budayıcıoğlu,37.04,24.0,400,8431, Genel,5,435
Harry Potter ve Sırlar Odası,YAPI KREDİ YAYINLARI,J. K. Rowling,30.0,18.6,314,187946, İngilizce,5,1699
